price,area,bathrooms,floor,total_floors,furnishing,transaction,location
9500000,600,2,10,18,0,0,67
9800000,710,2,1,4,0,0,67
9800000,820,2,2,6,0,0,67
6800000,679,2,7,18,2,1,67
4200000,441,2,5,18,0,1,67
5300000,475,1,5,13,2,0,67
11500000,701,2,14,30,0,1,67
5500000,330,1,1,6,1,0,67
7400000,838,3,4,18,0,0,67
12000000,770,2,9,10,1,0,67
6500000,680,2,7,7,1,0,67
42500000,1820,4,14,27,1,0,67
4500000,400,1,1,7,1,0,67
21500000,722,2,14,28,1,0,67
3500000,480,1,5,8,0,0,67
3500000,660,2,3,5,0,0,67
5450000,415,1,4,7,1,0,67
8800000,820,3,9,12,1,0,67
15600000,755,2,2,7,1,0,67
9000000,668,2,10,18,0,0,67
7000000,700,2,1,5,0,1,67
5300000,410,1,2,7,1,0,67
11000000,700,2,1,7,1,0,67
8700000,527,1,1,5,0,0,67
6200000,800,2,10,19,0,0,67
4500000,450,1,2,8,0,0,67
8900000,856,3,6,21,1,0,67
19000000,1120,3,14,22,2,0,67
9600000,480,2,4,23,1,0,67
3300000,475,1,16,16,1,0,67
5800000,400,2,8,16,0,0,67
5800000,749,2,6,7,1,0,67
11000000,480,1,2,7,2,0,67
3500000,590,1,2,4,0,0,67
11299999,636,2,20,26,0,0,67
2500000,400,1,3,4,0,0,67
4000000,600,1,2,3,0,0,67
5000000,450,2,17,18,0,0,67
9600000,771,2,10,31,1,0,67
15500000,1000,3,10,30,1,0,67
7600000,464,1,5,6,2,0,67
11100000,636,2,14,26,0,0,67
6800000,475,2,5,8,1,0,67
6200000,440,2,8,23,0,1,67
7300000,700,2,4,17,1,0,67
7500000,420,1,5,7,1,0,67
5400000,656,2,6,7,0,0,67
2000000,750,2,4,4,2,1,67
10000000,666,2,4,12,0,0,67
4200000,401,2,5,21,0,1,67
12200000,650,2,12,24,0,0,67
7550000,450,2,4,20,1,0,67
2800000,460,2,1,5,1,0,67
2600000,380,1,4,4,1,0,67
8000000,915,3,6,7,2,1,67
3300000,635,2,1,6,1,0,67
6800000,445,2,6,15,1,0,67
9500000,756,2,20,29,2,1,67
23500000,910,3,10,18,1,0,67
15000000,559,2,10,18,1,0,67
24000000,1500,3,6,30,2,0,67
3950000,450,2,4,16,0,0,67
3500000,550,1,2,6,0,0,67
4200000,455,1,3,7,0,0,67
15300000,635,2,21,45,0,1,67
2380000,450,2,4,7,0,1,67
7600000,464,1,5,6,2,0,67
15500000,570,2,6,12,0,0,67
17000000,767,2,9,29,0,1,67
10900000,650,2,19,26,0,0,67
12100000,780,2,2,10,2,0,67
11000000,636,2,13,26,0,0,67
21000000,930,2,7,12,1,0,67
5200000,430,1,1,7,1,0,67
11000000,600,2,6,27,0,0,67
6200000,640,2,2,8,0,0,67
2050000,388,1,12,12,0,1,67
3900000,435,2,6,7,0,0,67
4000000,300,1,1,2,0,0,67
6000000,410,2,8,16,0,0,67
21000000,1290,3,15,27,1,0,67
11200000,636,2,16,26,0,0,67
17000000,940,3,15,32,0,0,67
4200000,475,2,13,20,0,0,67
2500000,468,1,4,8,0,0,67
24500000,1250,3,15,27,1,0,67
4900000,450,2,9,22,1,0,67
18100000,818,2,11,18,0,1,67
6000000,670,2,5,8,0,0,67
4500000,580,1,9,18,1,1,67
4500000,584,2,10,19,2,0,67
3000000,640,2,3,11,1,0,67
25000000,1260,3,10,31,0,0,67
2900000,650,2,6,10,0,0,67
6800000,700,2,3,6,0,0,67
7200000,430,2,4,15,1,0,67
17500000,844,2,3,12,0,0,67
5000000,450,2,4,7,1,0,67
7500000,453,1,3,13,1,0,67
8200000,450,2,2,7,2,0,67
2500000,430,2,4,7,1,0,67
15500000,676,2,2,12,0,0,67
21000000,1115,3,18,28,1,0,67
16000000,950,3,15,30,0,0,67
10500000,530,2,20,26,0,0,67
11500000,700,2,8,19,1,0,67
23000000,902,2,14,28,0,0,67
23500000,1090,3,17,30,1,0,67
6500000,640,2,2,12,0,1,67
7100000,450,1,2,7,0,0,67
16500000,880,2,10,20,1,0,67
31000000,1070,4,21,28,1,0,67
5700000,300,1,4,17,1,0,67
27500000,1250,3,8,27,0,0,67
8000000,610,2,5,7,0,0,67
6000000,700,2,6,16,0,0,67
20000000,900,2,25,27,0,0,67
11200000,680,2,8,30,1,0,67
25400000,1163,3,15,18,0,1,67
4100000,430,1,16,16,0,0,67
2480000,486,1,7,7,1,0,67
2320000,486,1,7,7,1,0,67
9400000,441,1,7,7,1,0,67
1800000,448,1,0,4,1,0,67
10700000,752,2,7,11,1,0,67
28500000,1015,3,11,28,1,0,67
4500000,515,2,2,8,0,0,67
6500000,425,2,9,16,0,0,67
4700000,350,1,5,9,0,0,67
16000000,635,2,20,36,0,0,67
1800000,401,2,3,3,0,0,67
9000000,490,2,4,7,2,0,67
3200000,425,2,4,16,0,0,67
13600000,580,1,8,15,0,1,67
4000000,386,2,4,8,1,0,67
6000000,486,1,6,7,0,0,67
2500000,675,2,5,7,0,0,67
2350000,405,2,3,12,0,1,67
8090000,600,2,5,8,1,0,67
7500000,838,3,15,18,0,0,67
12500000,574,2,17,18,1,0,67
2500000,430,2,1,7,0,0,67
5500000,450,2,7,22,0,0,67
24500000,999,3,18,27,1,0,67
12500000,607,2,6,22,0,1,67
10000000,586,2,13,20,0,0,67
7500000,470,2,3,7,1,0,67
26900000,1100,3,4,26,0,0,67
17500000,750,2,10,30,0,0,67
14000000,800,2,1,13,0,0,67
28500000,1246,3,9,19,0,0,67
1850000,443,2,1,4,0,0,67
13500000,580,1,9,15,0,1,67
10200000,586,2,15,20,0,0,67
6800000,685,2,3,7,0,0,67
35000000,1518,4,18,30,0,1,67
57900000,2020,5,13,30,1,0,67
7500000,455,2,28,30,2,0,67
22500000,1090,3,10,22,1,0,67
27500000,1070,3,12,27,0,0,67
2800000,400,1,0,4,0,0,67
3329999,585,2,5,12,0,1,67
14500000,826,3,6,27,0,0,67
5350000,444,2,4,7,0,1,67
2500000,650,1,3,3,0,1,67
13000000,750,2,24,26,0,1,67
3000000,495,1,5,8,0,0,67
8300000,650,2,4,7,0,0,67
21900000,993,3,12,27,1,0,67
12200000,711,2,25,32,1,0,67
21000000,1042,3,16,18,0,1,67
8900000,611,2,9,20,0,1,67
9500000,670,2,3,7,1,0,67
14100000,779,2,13,26,0,0,67
7600000,525,2,15,16,0,0,67
10800000,636,2,11,26,0,0,67
5100000,610,2,1,5,0,0,67
4000000,450,1,7,8,0,0,67
14000000,720,2,11,28,0,0,67
22500000,1100,3,3,5,0,0,67
3400000,440,2,9,16,0,1,67
5400000,700,2,5,16,0,1,67
6600000,420,1,4,7,1,0,67
19000000,900,2,3,5,0,0,67
14000000,851,2,27,36,1,0,67
6000000,580,2,17,25,0,0,67
6500000,580,2,2,7,0,0,67
4100000,650,2,2,7,2,0,67
9000000,620,2,6,7,0,0,67
6200000,444,2,23,28,1,0,67
3290000,530,2,5,12,0,1,67
4500000,400,1,4,7,0,1,67
4500000,778,1,4,4,0,0,67
7500000,710,2,2,12,0,0,67
28000000,1380,3,12,31,0,0,67
12000000,800,2,5,14,1,0,67
4700000,414,1,9,14,1,1,67
14300000,851,2,32,36,1,0,67
24000000,1520,4,14,27,0,0,67
20000000,927,3,5,27,0,0,67
16000000,690,2,16,22,1,0,67
7200000,615,2,14,28,1,0,67
7509999,472,2,12,30,0,0,67
4800000,500,2,3,11,0,0,67
20700000,685,2,25,29,1,1,67
20500000,1190,3,9,20,0,0,67
12000000,711,2,20,32,1,0,67
16500000,698,2,12,33,0,1,67
5900000,456,1,8,19,1,0,67
8500000,550,1,4,12,2,0,67
6050000,503,2,4,7,0,1,67
22500000,1073,3,12,22,0,0,67
18500000,1116,3,5,7,0,0,67
19500000,846,2,12,27,1,0,67
7300000,650,2,9,18,1,0,67
16500000,800,2,1,12,1,0,67
12100000,691,2,10,26,0,0,67
14500000,660,2,3,16,1,0,67
14500000,652,2,17,19,2,0,67
13500000,661,2,2,27,0,0,67
26500000,700,2,7,7,0,1,67
6500000,565,1,4,4,0,0,67
11299999,700,2,13,42,1,0,67
17500000,720,2,3,8,0,1,67
24900000,1000,3,4,7,0,1,67
5500000,520,1,4,7,1,0,67
18500000,750,2,10,28,1,0,67
15100000,820,2,3,7,1,0,67
24000000,1168,3,15,32,0,1,67
21000000,1123,3,27,31,2,0,67
24000000,1015,2,10,28,1,0,67
12000000,710,3,5,7,1,0,67
5400000,309,1,2,14,0,0,67
4500000,467,1,5,7,0,0,67
6000000,413,2,7,17,0,0,67
5100000,385,1,0,4,1,0,67
11100000,761,1,2,2,2,0,67
8900000,778,2,11,25,0,1,67
11500000,680,2,15,28,1,0,67
3100000,443,1,4,8,0,0,67
2800000,440,1,2,7,0,0,67
42500000,1350,3,18,27,1,0,67
17400000,702,2,13,32,0,0,67
15500000,960,3,5,30,0,0,67
6900000,444,2,14,27,0,0,67
6000000,437,1,7,7,0,0,67
4500000,702,2,4,7,0,0,67
24700000,950,2,5,33,1,0,67
51100000,1850,4,17,29,2,0,67
11200000,727,2,11,24,1,0,67
4500000,638,2,4,18,0,0,67
6850000,600,2,13,24,1,1,67
23100000,1153,3,28,32,0,1,67
5100000,490,2,18,24,1,1,67
2000000,320,1,4,7,1,0,67
27500000,1294,3,13,25,0,0,67
23300000,1153,3,28,32,0,1,67
2750000,475,2,2,9,0,0,67
6200000,437,1,0,28,0,0,67
6100000,458,2,12,21,2,0,67
8500000,460,2,6,18,1,0,67
4400000,585,2,6,8,1,0,67
17000000,795,2,8,8,0,1,67
18900000,975,3,8,25,0,0,67
1500000,364,1,3,5,0,0,67
43099999,1700,4,14,20,2,0,67
15900000,690,2,5,22,0,0,67
8200000,640,2,1,7,1,0,67
7200000,770,2,4,7,0,0,67
1700000,300,1,3,8,0,0,67
3400000,477,1,2,20,1,0,67
20000000,700,2,10,24,1,0,67
11000000,672,2,8,28,2,0,67
5200000,455,2,1,7,2,1,67
9000000,600,2,7,7,0,0,67
12200000,775,2,10,36,1,0,67
18500000,760,2,10,28,0,0,67
5500000,430,2,2,11,1,0,67
5800000,410,1,4,7,1,0,67
2330000,420,1,2,7,0,1,67
8800000,950,2,3,7,1,0,67
9500000,645,2,10,25,1,0,67
9800000,680,2,3,16,1,0,67
10000000,480,2,22,33,0,0,67
11800000,624,2,14,27,1,0,67
2200000,480,1,0,3,0,0,67
5900000,607,2,5,7,0,0,67
15000000,1252,3,8,17,1,0,67
2800000,444,2,13,14,1,0,67
4800000,480,1,5,7,0,0,67
36900000,1424,3,3,31,0,0,67
8800000,680,2,3,22,0,0,67
9000000,525,2,1,20,1,0,67
2700000,290,1,3,7,1,0,67
50000000,1800,5,30,32,0,0,67
8000000,600,2,2,20,0,0,67
2750000,400,1,1,7,1,0,67
4400000,638,2,16,18,0,0,67
8900000,610,2,11,19,1,0,67
6500000,472,2,19,31,1,0,67
5400000,510,2,3,16,1,0,67
10800000,952,3,4,30,0,0,67
13200000,848,2,4,36,1,0,67
5500000,425,2,3,7,0,0,67
8000000,770,2,4,4,2,0,67
4550000,350,1,3,4,2,0,67
18500000,710,2,13,34,0,1,67
7700000,600,2,16,16,0,0,67
5200000,437,2,6,37,0,1,67
6800000,371,1,7,7,1,0,67
14900000,858,2,19,36,1,0,67
9500000,900,3,10,18,2,0,67
7000000,738,2,5,18,1,0,67
16500000,734,2,11,27,1,0,67
5500000,815,2,4,4,1,0,67
12000000,775,2,8,36,1,0,67
2300000,570,2,4,4,0,0,67
16500000,650,2,5,6,0,0,67
7000000,465,2,5,7,2,0,67
3400000,557,2,2,12,0,0,67
2190000,392,1,2,4,0,1,67
4000000,6363,2,2,7,0,0,67
72500000,2350,4,7,26,2,0,67
13500000,700,2,11,36,0,0,67
22500000,993,3,14,27,1,0,67
11000000,672,2,2,28,1,0,67
4200000,450,2,3,15,0,0,67
11500000,672,2,25,30,0,0,67
8000000,640,2,6,14,1,0,67
11600000,668,2,13,27,1,0,67
12700000,640,2,6,7,1,0,67
6500000,750,1,4,4,0,0,67
14000000,907,2,2,20,2,0,67
5700000,286,2,22,24,0,0,67
10500000,640,2,13,32,0,0,67
31000000,1370,3,10,18,0,0,67
4850000,445,2,19,24,1,1,67
34000000,1395,3,11,27,1,0,67
8000000,600,2,3,7,1,0,67
2200000,360,1,1,4,0,0,67
15600000,575,2,8,11,2,0,67
15600000,575,2,8,11,2,0,67
7800000,575,2,12,29,0,0,67
9000000,525,2,4,27,0,0,67
4100000,622,2,8,20,1,0,67
9600000,586,2,8,20,0,0,67
11700000,510,1,5,7,0,1,67
3800000,406,2,2,23,0,0,67
9700000,586,2,10,20,0,0,67
15000000,750,2,28,30,0,0,67
8000000,725,2,8,14,2,0,67
9800000,586,2,11,20,0,0,67
7509999,472,2,15,28,1,0,67
5900000,440,2,22,30,0,0,67
10600000,605,2,5,7,0,1,67
5500000,600,2,2,4,0,0,67
7400000,455,2,25,28,0,0,67
10000000,765,2,2,14,1,0,67
18000000,955,2,20,30,1,1,67
5300000,738,2,4,18,0,0,67
3300000,576,1,2,7,1,0,67
11500000,475,1,5,8,0,1,67
14000000,710,2,16,38,0,1,67
7500000,576,2,15,17,1,0,67
35000000,1250,3,15,30,0,1,67
19500000,870,2,19,28,1,0,67
29500000,1090,2,12,30,0,1,67
3500000,500,1,1,5,2,0,67
5200000,420,2,16,21,1,0,67
4500000,455,1,4,7,0,0,67
9500000,586,2,9,20,0,0,67
5700000,527,2,17,25,0,1,67
13000000,730,2,30,34,1,0,67
2410000,452,2,5,12,0,1,67
21000000,1134,3,24,28,0,0,67
8300000,622,2,10,14,0,1,67
6200000,680,2,2,8,1,0,67
8800000,421,2,24,25,1,0,67
2200000,515,1,2,4,0,0,67
3650000,645,1,2,7,1,0,67
5500000,524,2,2,22,0,1,67
15500000,922,2,26,28,0,0,67
13000000,1195,3,5,22,0,0,67
1000000,360,1,2,5,0,0,67
12500000,700,2,3,3,2,0,67
37500000,1600,4,10,28,1,0,67
2200000,405,2,1,4,0,0,67
8000000,700,2,9,12,0,1,67
18000000,1100,3,12,28,1,0,67
49000000,1700,4,18,29,0,1,67
7200000,437,1,8,26,1,0,67
10000000,750,2,1,4,1,0,67
3260000,516,2,5,12,0,1,67
17900000,1321,3,16,29,0,0,67
10200000,540,2,3,7,0,0,67
4200000,638,2,8,18,0,0,67
14500000,720,2,10,27,0,0,67
13500000,728,2,2,22,1,0,67
10300000,586,2,16,20,0,0,67
10400000,586,2,17,20,0,0,67
10800000,625,2,5,7,0,1,67
3000000,500,1,1,4,1,0,67
10000000,620,2,2,7,1,0,67
10500000,586,2,19,20,0,0,67
1500000,233,1,0,7,0,0,67
27000000,1266,3,8,8,0,0,67
23000000,1120,3,6,7,0,0,67
2750000,530,1,7,7,0,0,67
10700000,650,2,13,13,0,0,47
2200000,363,1,2,3,0,0,47
38500000,1175,3,0,14,0,0,47
14500000,1350,3,15,30,0,0,47
42500000,2043,3,9,38,0,1,47
40000000,1977,4,18,38,0,1,47
11000000,710,2,8,30,0,0,47
12900000,1700,5,33,36,0,1,47
16500000,740,2,3,5,0,1,47
3250000,273,1,1,8,1,0,47
10500000,800,2,2,18,0,0,47
37500000,1100,3,2,12,2,0,47
3000000,350,2,1,3,0,0,47
10200000,760,2,9,14,1,1,47
4200000,400,1,3,5,0,0,47
4700000,540,1,1,4,1,0,47
10400000,850,2,15,19,0,0,47
2000000,330,1,2,5,0,0,47
4300000,405,1,1,5,0,0,47
6000000,705,2,3,3,1,0,47
28500000,1100,3,3,5,0,1,47
15000000,560,2,6,6,0,0,47
6750000,660,2,10,13,0,0,47
6700000,660,2,10,13,0,0,47
7000000,420,1,2,3,1,0,47
6000000,700,2,3,4,1,0,47
16000000,700,2,6,20,0,0,47
18700000,950,2,21,23,0,0,47
20299999,1200,2,0,4,0,0,47
7000000,720,2,5,13,1,0,47
32000000,1100,3,18,28,0,0,47
5600000,800,2,2,4,0,0,47
20000000,782,2,20,39,1,0,47
9200000,540,2,1,3,0,0,47
16500000,700,2,6,6,0,0,47
4700000,400,1,9,25,1,0,47
16000000,750,2,7,12,0,0,47
5500000,600,1,1,4,0,0,47
15000000,1200,3,5,6,1,0,47
13000000,890,2,5,7,0,0,47
45000000,1333,3,16,18,0,1,47
9000000,990,2,1,15,1,0,47
7600000,700,2,5,13,0,0,47
11000000,565,2,7,15,0,0,47
10500000,485,2,5,23,0,0,47
18500000,1300,3,14,20,0,0,47
17500000,1122,3,10,29,0,0,47
21000000,750,2,25,27,0,0,47
3100000,400,2,4,4,0,0,47
21700000,1220,2,5,6,0,0,47
13000000,848,2,14,26,0,0,47
25000000,620,2,9,26,0,0,47
5000000,550,1,3,3,0,0,47
8000000,500,1,6,7,2,0,47
9500000,750,2,6,6,1,0,47
8000000,420,1,3,7,1,0,47
8800000,700,2,7,13,0,0,47
10500000,721,2,2,20,0,0,47
5500000,550,2,1,2,0,0,47
6500000,450,1,7,13,0,0,47
3600000,500,2,3,4,1,0,47
32500000,1800,6,2,3,1,0,47
2600000,286,1,1,4,0,0,47
13000000,1000,3,10,15,0,0,47
15500000,700,2,11,16,0,0,47
3300000,400,1,7,7,0,0,47
7200000,440,1,10,13,0,0,47
8780000,740,2,8,13,0,0,47
8000000,750,2,3,5,0,0,47
4700000,695,2,3,5,1,1,47
34500000,1200,3,5,14,0,0,47
11200000,800,2,11,14,0,0,47
13000000,785,2,12,30,1,0,47
12500000,790,2,3,5,1,0,47
7600000,750,2,3,5,0,1,47
9000000,745,2,3,5,0,0,47
30000000,1200,4,14,15,0,0,47
17000000,1080,3,9,15,0,0,47
27000000,900,2,24,29,1,0,47
6800000,440,2,5,7,0,0,47
13700000,700,2,6,20,2,0,47
18000000,1125,3,7,14,0,0,47
7500000,650,2,3,7,0,0,47
10700000,750,2,7,13,0,0,47
3300000,415,1,1,4,0,0,47
32500000,800,2,4,12,2,0,47
6900000,460,1,13,17,2,0,47
9800000,700,2,4,7,2,0,47
3600000,400,1,2,4,0,0,47
7800000,400,1,2,6,0,0,47
4500000,450,1,3,5,0,0,47
6000000,475,1,3,5,0,0,47
11000000,700,2,12,19,0,0,47
17000000,1200,3,3,5,0,0,47
6500000,475,2,3,5,0,0,47
4300000,475,1,3,5,0,0,47
4200000,450,1,4,4,0,0,47
5500000,450,2,14,14,0,0,47
16500000,870,2,2,40,0,1,47
8050000,1490,3,2,2,0,0,47
5900000,890,2,2,3,0,0,47
9400000,700,2,2,23,0,0,47
5000000,500,1,1,7,0,0,47
19500000,1092,2,18,26,0,0,47
4000000,600,2,4,4,1,0,47
14500000,799,2,10,26,0,0,47
9200000,812,2,3,5,0,0,47
12500000,800,2,7,14,0,0,47
5200000,604,2,6,7,0,0,47
8800000,685,2,7,14,2,0,47
16000000,680,2,9,38,1,0,47
13700000,700,2,6,7,0,0,47
17500000,725,2,5,15,1,0,47
11000000,800,2,13,13,0,0,47
9800000,625,2,17,21,0,0,47
5500000,417,1,9,14,0,0,47
9900000,700,2,2,15,0,0,47
6500000,450,1,3,4,1,0,47
9300000,390,1,10,22,0,0,47
14500000,1050,3,3,5,0,0,47
10500000,815,2,4,13,0,0,47
4200000,410,2,4,4,0,0,47
14000000,820,2,20,31,1,1,47
8300000,430,1,3,7,0,0,47
7990000,746,2,4,7,0,0,47
18500000,1300,3,20,31,1,1,47
8000000,800,2,10,15,0,0,47
12900000,660,2,15,22,0,0,47
13000000,826,2,20,27,1,0,47
